#{"t_start": 1733335276.058256, "env_id": "CartPole-v1"}
r,l,t
22.0,22,2.474468
12.0,12,2.739181
13.0,13,3.029313
19.0,19,3.441381
10.0,10,3.661427
11.0,11,3.901249
24.0,24,4.413208
14.0,14,4.71953
22.0,22,5.192728
14.0,14,5.498709
16.0,16,5.847643
10.0,10,6.075572
17.0,17,6.44448
11.0,11,6.691449
11.0,11,6.936924
46.0,46,7.895441
16.0,16,8.243095
26.0,26,8.796501
13.0,13,9.083128
26.0,26,9.636421
39.0,39,10.454915
16.0,16,10.805987
18.0,18,11.195378
13.0,13,11.483698
12.0,12,11.749286
13.0,13,12.033505
20.0,20,12.46195
15.0,15,12.791863
16.0,16,13.189386
20.0,20,13.622843
48.0,48,14.623179
11.0,11,14.865524
14.0,14,15.173001
44.0,44,16.091948
31.0,31,16.753159
25.0,25,17.284351
20.0,20,17.712956
14.0,14,18.023089
13.0,13,18.310856
59.0,59,19.538646
45.0,45,20.486302
65.0,65,21.836083
16.0,16,22.184775
33.0,33,22.880674
9.0,9,23.084771
30.0,30,23.748094
12.0,12,24.014762
17.0,17,24.382761
12.0,12,24.650617
41.0,41,25.508358
37.0,37,26.285285
13.0,13,26.572352
15.0,15,26.89974
29.0,29,27.514745
46.0,46,28.473982
13.0,13,28.75982
14.0,14,29.068
18.0,18,29.457782
25.0,25,29.998056
20.0,20,30.429249
15.0,15,30.756423
33.0,33,31.456359
28.0,28,32.052698
17.0,17,32.422621
10.0,10,32.649027
24.0,24,33.162446
13.0,13,33.454731
41.0,41,34.335806
14.0,14,34.642829
41.0,41,35.505687
17.0,17,35.87146
19.0,19,36.283663
36.0,36,37.042656
23.0,23,37.534653
16.0,16,37.882941
24.0,24,38.402249
25.0,25,38.937874
64.0,64,40.269401
17.0,17,40.641289
31.0,31,41.299391
26.0,26,41.857475
12.0,12,42.121639
24.0,24,42.641348
24.0,24,43.156528
23.0,23,43.651176
39.0,39,44.472904
37.0,37,45.280245
41.0,41,46.143017
17.0,17,46.51479
17.0,17,46.890177
16.0,16,47.239942
17.0,17,47.609699
83.0,83,49.341034
17.0,17,49.711616
40.0,40,50.559743
16.0,16,50.905854
22.0,22,51.376243
16.0,16,51.723565
14.0,14,52.026737
12.0,12,52.294534
39.0,39,53.114062
28.0,28,53.713104
16.0,16,54.06583
14.0,14,54.374972
10.0,10,54.602944
36.0,36,55.363192
48.0,48,56.388216
14.0,14,56.697474
21.0,21,57.154128
15.0,15,57.476779
12.0,12,57.74372
77.0,77,59.34971
18.0,18,59.740064
53.0,53,60.836783
20.0,20,61.266511
9.0,9,61.475199
12.0,12,61.743522
17.0,17,62.108553
37.0,37,62.887176
14.0,14,63.193797
27.0,27,63.761127
14.0,14,64.06513
20.0,20,64.492548
37.0,37,65.269432
45.0,45,66.20768
30.0,30,66.865691
22.0,22,67.336746
10.0,10,67.559071
15.0,15,67.893159
20.0,20,68.325081
57.0,57,69.514638
20.0,20,69.945932
42.0,42,70.833802
11.0,11,71.079893
15.0,15,71.406381
85.0,85,73.172489
15.0,15,73.502599
11.0,11,73.752322
32.0,32,74.431381
22.0,22,74.903647
21.0,21,75.359799
15.0,15,75.689956
13.0,13,75.974369
48.0,48,76.997262
18.0,18,77.386844
23.0,23,77.881462
26.0,26,78.433422
14.0,14,78.740959
30.0,30,79.371834
20.0,20,79.806034
27.0,27,80.380552
9.0,9,80.584368
9.0,9,80.789358
64.0,64,82.105239
32.0,32,82.777424
48.0,48,83.779078
11.0,11,84.025481
30.0,30,84.66445
11.0,11,84.906945
30.0,30,85.536952
28.0,28,86.131495
18.0,18,86.515798
21.0,21,86.964834
25.0,25,87.496843
36.0,36,88.281992
18.0,18,88.673758
15.0,15,89.005236
10.0,10,89.226726
64.0,64,90.561904
27.0,27,91.133471
35.0,35,91.871463
31.0,31,92.527374
22.0,22,92.998842
20.0,20,93.424632
20.0,20,93.85671
66.0,66,95.231221
17.0,17,95.596582
13.0,13,95.886352
12.0,12,96.154851
31.0,31,96.810483
14.0,14,97.116292
21.0,21,97.566421
17.0,17,97.93062
47.0,47,98.935756
18.0,18,99.324466
32.0,32,99.998775
21.0,21,100.450959
27.0,27,101.020161
21.0,21,101.467418
17.0,17,101.827438
71.0,71,103.302465
16.0,16,103.651113
111.0,111,105.94836
48.0,48,106.951123
35.0,35,107.685345
23.0,23,108.176854
30.0,30,108.825451
36.0,36,109.58171
34.0,34,110.292435
50.0,50,111.345692
235.0,235,116.182986
189.0,189,120.108404
175.0,175,123.713492
164.0,164,127.102286
383.0,383,134.979662
291.0,291,140.984862
142.0,142,143.927423
132.0,132,146.655384
64.0,64,147.989444
175.0,175,151.615073
84.0,84,153.361427
180.0,180,157.068261
78.0,78,158.691622
98.0,98,160.750291
77.0,77,162.357063
42.0,42,163.242033
86.0,86,165.03144
80.0,80,166.691232
49.0,49,167.717859
45.0,45,168.668532
53.0,53,169.772412
88.0,88,171.625187
39.0,39,172.451488
90.0,90,174.321617
43.0,43,175.230767
60.0,60,176.480874
67.0,67,177.882067
99.0,99,179.934089
41.0,41,180.801788
79.0,79,182.469094
64.0,64,183.81204
38.0,38,184.609206
61.0,61,185.897028
80.0,80,187.570434
54.0,54,188.693492
68.0,68,190.106482
101.0,101,192.283969
42.0,42,193.161322
35.0,35,193.901822
37.0,37,194.681704
30.0,30,195.319866
