#{"t_start": 1733507788.4731367, "env_id": "None"}
r,l,t
151.354137,53,16.971561
39.539312,15,23.156686
90.694962,16,29.837088
225.796725,45,44.019187
71.257601,16,50.62522
159.771938,12,56.410371
406.592436,32,66.775125
105.146951,41,81.107447
248.987831,30,90.813434
42.727687,9,95.365304
37.686213,8,99.908287
493.177177,70,120.045712
123.394804,29,129.538109
128.166324,40,142.387242
108.910915,31,152.923677
43.244576,7,157.382411
180.677284,20,165.016027
41.168427,11,170.248701
190.27948,43,183.613491
202.608943,26,192.603381
198.254307,66,211.89719
71.246417,26,220.851279
190.84309,17,228.993554
